Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Company Name,Company Type,Address,Main Parcel,Description,DBA
SP-BRFG-24-01391,SP - Building Roofing - Shingle,Finaled,,4/2/2024,12/14/2023,3/10/2025,6/25/2024,Permit,,,311 NW 10 ST Hallandale Beach FL 33009,514221040351,roofing for sfh,
SP-BRFG-17-03569,SP - Building Roofing - Single Ply,Finaled,,1/25/2018,6/7/2017,8/27/2018,2/28/2018,Permit,,,701 NE 1 ST Hallandale Beach FL 33009,514227200110,commercial office-roofing,
SP-BRFG-24-01390,SP - Building Roofing - Shingle,Finaled,,4/2/2024,12/14/2023,3/10/2025,6/25/2024,Permit,,,313 NW 10 ST HALLANDALE BEACH FL 33009,514221040350,roofing for sfh,
SP-BRFG-24-03695,SP - Building Roofing - Shingle,Required,,,2/22/2024,1/19/2026,,Permit,,,744 NW 6 ST HALLANDALE BEACH FL 33009,514221190150,roofing for addition,
BRFG-23-00084,Building Roofing - Shingle,Finaled,,1/26/2023,11/30/2022,5/9/2023,2/8/2023,Permit,,,629 NW 6 CT HALLANDALE BEACH FL 33009,514221180500,re-roofing slope only,
BRFG-17-02110,Building Roofing - Shingle,Finaled,,6/28/2017,5/3/2017,12/27/2017,6/30/2017,Permit,,,604 NW 10 ST HALLANDALE BEACH FL 33009,514221240100,re-roofing flat deck,
BRFG-17-00241,Building Roofing - Shingle,Finaled,,2/2/2017,1/24/2017,9/18/2017,3/22/2017,Permit,,,627 NW 10 CT HALLANDALE BEACH FL 33009,514221020610,re roofing shingle  & flat ,
BRFG-19-04801,Building Roofing - Tile,Finaled,,11/21/2019,10/23/2019,4/28/2020,1/29/2020,Permit,,,119 NE 3 AVE HALLANDALE BEACH FL 33009,514227300020,re roofing tile roof,
2007-0396-NBRR-0,Building Roofing - Combo,CO Issued,,2/21/2007,11/22/2006,10/3/2007,7/5/2007,Permit,,,209 SW 5 AVE Hallandale Beach FL 33009,514228060043,new single family-roofing,
BRFG-24-04429,Building Roofing - Built-Up,Finaled,,11/4/2024,10/14/2024,2/12/2025,11/14/2024,Permit,,,512 NW 2 AVE Unit: 1-4 HALLANDALE BEACH FL 33009,514222070130,re-roofing flat roof,
2011-1581-NRPR-0,Building Roofing - Combo,Finaled,,,5/31/2011,,7/22/2011,Permit,,,519 PALM DR Hallandale Beach FL 33009,514226040370,lighweight concre for roofing,
BRFG-16-03786,Building Roofing - Built-Up,Expired,,7/1/2016,5/25/2016,12/28/2016,,Permit,,,850 NW 11 AVE Unit: G&T HALLANDALE BEACH FL 33009,514221290220,re-roofing (flat roof),
1999-2140-BDRR-0,Building Roofing - Combo,Finaled,,10/29/1999,9/10/1999,11/30/2011,7/22/2011,Permit,,,1018 SW 2 ST Hallandale Beach FL 33009,514228340140,carport repair with roofing,
BRFG-19-02068,Building Roofing - Shingle,Expired,,5/23/2019,5/3/2019,1/16/2020,,Permit,,,412 SW 8 ST HALLANDALE BEACH FL 33009,514228270060,replace roofing shingles & underlayment,
BRFG-19-01599,Building Roofing - Shingle,Finaled,,4/16/2019,4/15/2019,11/6/2019,5/10/2019,Permit,,,302 NW 3 AVE HALLANDALE BEACH FL 33009,514221110081,re-roofing asphalt shingles,
BRFG-21-03605,Building Roofing - Built-Up,Finaled,,12/6/2021,8/9/2021,4/18/2022,1/18/2022,Permit,,,709 NE 3 ST HALLANDALE BEACH FL 33009,514222130120,re-roofing flat roof,
BRFG-19-02341,Building Roofing - Shingle,Finaled,,6/6/2019,5/22/2019,12/9/2019,6/11/2019,Permit,,,912 NW 9 AVE HALLANDALE BEACH FL 33009,514221280190,re-roofing asphalt shingles,
BRFG-21-04953,Building Roofing - Shingle,Required,,,11/13/2021,,,Permit,,,729 NW 5 ST HALLANDALE BEACH FL 33009,514221200080,re-roofing and singles.,
BRFG-25-02263,Building Roofing - Metal,Required,,,5/5/2025,,,Permit,,,800 NE 3 ST HALLANDALE BEACH FL 33009,514222360510,re-roofing  (metal roof),
BRFG-25-02908,Building Roofing - Shingle,Finaled,,7/30/2025,6/24/2025,1/3/2026,10/2/2025,Permit,,,901 NE 4 ST HALLANDALE BEACH FL 330093593,514222360400,additional roofing package submittal,
BRFG-24-05407,Building Roofing - Built-Up,Expired,,4/2/2025,12/17/2024,11/12/2025,,Permit,,,137 GOLDEN ISLES DR HALLANDALE BEACH FL 33009,514226BL0000,re-roofing (tpo system),
BRFG-25-01966,Building Roofing - Single Ply,Active,,7/10/2025,4/11/2025,5/19/2026,,Permit,,,473  SUNSET DR HALLANDALE BEACH FL 33009,514226050790,roofing sub-permit application,
SP-BRFG-16-03901,SP - Building Roofing - Combo,Finaled,,6/8/2016,6/29/2015,6/14/2017,12/16/2016,Permit,,,113 HOLIDAY DR HALLANDALE BEACH FL 33009,514235030180,metal & built-up roofing,
SP-BRFG-17-02776,SP - Building Roofing - Built-Up,Expired,HALLANDALE ART SQUARE,7/13/2017,6/26/2015,8/19/2019,2/14/2019,Permit,,,401 NE 3 St HALLANDALE BEACH FL 33009,514222420010,artsquare - roofing building 2,
SP-BRFG-23-03876,SP - Building Roofing - Built-Up,Finaled,,9/19/2023,9/13/2022,4/15/2024,10/10/2023,Permit,,,805 SE 1 AVE HALLANDALE BEACH FL 33009,514227150130,roofing membrane for gazebo,
SP-BRFG-17-04457,SP - Building Roofing - Shingle,Finaled,,12/8/2017,11/17/2017,7/29/2021,8/16/2018,Permit,,,319 NW 4 AVE Hallandale Beach FL 33009,514221010290,"adding permit's for ""roofing""",
SP-BRFG-17-02775,SP - Building Roofing - Built-Up,VOID,HALLANDALE ART SQUARE,7/13/2017,6/26/2015,6/4/2018,1/5/2018,Permit,,,,514222420010,artsquare - roofing bldg #1,
BRFG-21-05203,Building Roofing - Shingle,Finaled,,12/13/2021,9/30/2021,4/26/2022,1/26/2022,Permit,,,218 SE 10 ST HALLANDALE BEACH FL 33009,514227141220,"partial re-roofing: mansard , only",
BRFG-23-04290,Building Roofing - Shingle,Finaled,,10/11/2023,10/2/2023,1/24/2024,10/26/2023,Permit,,,1008 FOSTER RD HALLANDALE BEACH FL 33009,514221290050,re-roofing shingle to shingle,
BRFG-20-02871,Building Roofing - Built-Up,Finaled,,8/27/2020,2/3/2020,12/8/2020,9/9/2020,Permit,,,828 PEMBROKE RD HALLANDALE BEACH FL 33009,514221230050,re roofing built up roof ,
BRFG-24-02092,Building Roofing - Combo,Finaled,,5/29/2024,5/6/2024,10/15/2024,7/17/2024,Permit,,,630 NW 2 ST HALLANDALE BEACH FL 33009,514228010010,remove and replace roofing materials,
BRFG-21-03311,Building Roofing - Shingle,Finaled,,9/23/2021,8/14/2021,1/3/2022,10/4/2021,Permit,,,608 NW 3 AVE HALLANDALE BEACH FL 33009,514221170150,"re-roofing
shingle to shingle",
BRFG-23-05009,Building Roofing - Shingle,Finaled,,12/18/2023,11/29/2023,4/22/2024,1/23/2024,Permit,,,319 NE 2 ST HALLANDALE BEACH FL 33009,514227110330,re-roofing for one building,
BRFG-21-02581,Building Roofing - Tile,Finaled,,11/17/2021,5/5/2021,9/26/2022,6/27/2022,Permit,,,1975 S OCEAN DR Unit: CLUB HALLANDALE BEACH FL 33009,514226BG0000,"re-roofing
minor concrete repairs",
BRFG-21-04144,Building Roofing - Shingle,Finaled,,11/4/2021,9/2/2021,4/12/2022,1/12/2022,Permit,,,609 NW 5 CT HALLANDALE BEACH FL 33009,514221180600,re roofing tile to shingle,
BRFG-24-02949,Building Roofing - Built-Up,Finaled,,7/25/2024,6/25/2024,12/9/2024,9/10/2024,Permit,,,2743  PARKVIEW DR HALLANDALE BEACH FL 33009,514223140260,flat and shingle re-roofing,
BRFG-24-01249,Building Roofing - Shingle,Finaled,,4/16/2024,3/26/2024,8/5/2024,5/6/2024,Permit,,,512-514 SW 2 AVE Unit: 1-2 HALLANDALE BEACH FL 330096305,514227210370,re roofing to new shingle,
BRFG-21-03674,Building Roofing - Combo,Finaled,,10/19/2021,8/12/2021,3/8/2022,12/8/2021,Permit,,,312 SW 11 AVE HALLANDALE BEACH FL 33009,514228290020,roofing res shingle and flat,
BRFG-23-03404,Building Roofing - Single Ply,Finaled,,8/30/2023,8/9/2023,12/6/2023,9/7/2023,Permit,,,223 SW 10 ST HALLANDALE BEACH FL 33009,514228350120,re-roofing carport flat only,
BRFG-24-02869,Building Roofing - Shingle,Finaled,,7/17/2024,6/21/2024,12/31/2024,10/2/2024,Permit,,,717 NW 5 ST HALLANDALE BEACH FL 33009,514221200050,re roofing shingle to shingle,
BRFG-24-01002,Building Roofing - Combo,Finaled,,3/20/2024,3/11/2024,7/9/2024,4/10/2024,Permit,,,637 SW 2 ST HALLANDALE BEACH FL 33009,514228070030,re-roofing shingles and flat,
BRFG-23-00504,Building Roofing - Combo,Finaled,,2/28/2023,1/19/2023,8/9/2023,5/11/2023,Permit,,,918 NE 7 ST HALLANDALE BEACH FL 33009,514222360040,re roofing metal y flat,
BRFG-23-05057,Building Roofing - Combo,Finaled,,12/19/2023,11/24/2023,5/28/2024,2/27/2024,Permit,,,305 SW 7 ST HALLANDALE BEACH FL 33009,514228370250,re-roofing metal and flat,
BRFG-17-01224,Building Roofing - Shingle,Finaled,,3/31/2017,3/22/2017,10/9/2017,4/10/2017,Permit,,,420 SW 10 ST HALLANDALE BEACH FL 33009,514228300170,re-roofing shingle/flat roof,
BRFG-19-03493,Building Roofing - Single Ply,Finaled,,10/3/2019,8/12/2019,4/15/2020,1/16/2020,Permit,,,128 SW 3 AVE HALLANDALE BEACH FL 33009,514228022350,roofing for new detached garage,
2005-2779-BDRR-0,Building Roofing - Combo,Finaled,,5/8/2006,9/21/2005,11/4/2006,7/22/2011,Permit,,,524 SW 5 AVE Hallandale Beach FL 33009,514228330301,late sub/roofing white seal,
BRFG-25-01914,Building Roofing - Shingle,Finaled,,5/19/2025,4/29/2025,8/20/2025,5/22/2025,Permit,,,218 SW 5 ST HALLANDALE BEACH FL 33009,514228310191,roofing: re-roof with shingles,
BRFG-24-04200,Building Roofing - Built-Up,Finaled,,10/15/2024,9/23/2024,4/28/2025,1/28/2025,Permit,,,410 NW 5 AVE HALLANDALE BEACH FL 33009,514221080140,shingle and flat re roofing,
BRFG-24-03258,Building Roofing - Built-Up,Finaled,,4/2/2025,7/23/2024,7/14/2025,4/15/2025,Permit,,,204 SW 3 ST HALLANDALE BEACH FL 33009,514228022660,re roofing shingle and flat,
BRFG-25-00956,Building Roofing - Shingle,Finaled,,4/2/2025,2/26/2025,7/15/2025,4/16/2025,Permit,,,620 SW 1 CT HALLANDALE BEACH FL 33009,514228100282,re-roofing - new shingle roof,
BRFG-25-03040,Building Roofing - Built-Up,Finaled,,8/5/2025,5/12/2025,11/10/2025,8/12/2025,Permit,,,624 SW 6 AVE HALLANDALE BEACH FL 33009,514228230020,re-roofing flat roof only,
BRFG-25-04774,Building Roofing - Combo,Required,,,11/21/2025,,,Permit,,,101 SW 4 AVE Unit: 1-5 HALLANDALE BEACH FL 33009,514228022420,re-roofing shingles and flat,
BTR-23-04548,Local Business Tax Receipt - Professionals,Submitted - Online,,,10/4/2023,,,License,PRITTS INC,Corporation,600 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223BJ0001,roofing/ sheet metal contractor & general contractor,Pritts Inc
BRFG-21-02090,Building Roofing - Metal,Expired,,7/29/2021,5/24/2021,11/24/2021,,Permit,,,303 NW 10 ST HALLANDALE BEACH FL 33009,514221040330,removal of existing roofing shingles and install new 3 tab roofing shingle system,
2014-0694-NBRS-1,Building New Construction - Single Family,Finaled,,3/10/2014,1/6/2014,2/4/2015,8/12/2014,Permit,,,601 NW 4 AVE Hallandale Beach FL 33009,514221150090,roofing,
2014-0590-NBRS-1,Building New Construction - Single Family,Finaled,,3/10/2014,12/16/2013,2/10/2015,8/15/2014,Permit,,,605 NW 5 CT Hallandale Beach FL 33009,514221180590,roofing,
2014-0588-NBRS-1,Building New Construction - Single Family,Finaled,,3/11/2014,12/16/2013,2/4/2015,8/14/2014,Permit,,,600 NW 5 AVE Hallandale Beach FL 33009,514221150110,roofing,
2014-0589-NBRS-1,Building New Construction - Single Family,Finaled,,3/10/2014,12/16/2013,1/14/2015,7/22/2014,Permit,,,1012 FOSTER RD Hallandale Beach FL 33009,514221290070,roofing,
2015-1908-NBRS-1,Building New Construction - Single Family,Finaled,,8/20/2015,5/22/2015,5/30/2016,11/30/2015,Permit,,,509 NW 6 ST Hallandale Beach FL 33009,514221150370,roofing,
2015-0244-NBRS-1,Building New Construction - Single Family,Finaled,,4/15/2015,11/4/2014,4/26/2017,3/25/2016,Permit,,,455 SUNSET DR Hallandale Beach FL 33009,514226050760,roofing,
2009-0500-NELC-0,Electrical Sub-General - New,Finaled,,2/12/2009,1/5/2009,9/17/2009,7/22/2011,Permit,,,270 LAYNE BLVD Hallandale Beach FL 33009,514226DJ0000,roofing,
2008-0077-BDMC-0,Mechanical Sub-General - New,Finaled,,12/5/2007,10/10/2007,6/4/2008,7/22/2011,Permit,,,401 NE 14 AVE Hallandale Beach FL 33009,514222DB0000,roofing,
2009-0500-NPPC-0,Plumbing Sub-General - NA,Finaled,,2/12/2009,1/5/2009,9/17/2009,7/22/2011,Permit,,,270 LAYNE BLVD Hallandale Beach FL 33009,514226DJ0000,roofing,
2014-1858-NBRS-3,Building New Construction - Single Family,Finaled,,3/11/2015,6/3/2014,1/4/2016,12/8/2016,Permit,,,400 TAMARIND DR Hallandale Beach FL 33009,514226050970,roofing,
2014-0587-NBRS-1,Building New Construction - Single Family,Finaled,,3/11/2014,12/16/2013,1/13/2015,7/24/2014,Permit,,,1016 FOSTER RD Hallandale Beach FL 33009,514221290090,roofing,
2014-0693-NBRS-1,Building New Construction - Single Family,Finaled,,3/10/2014,1/6/2014,2/4/2015,8/14/2014,Permit,,,505 NW 6 ST Hallandale Beach FL 33009,514221150360,roofing,
2008-0077-BDEC-0,Electrical Sub-General - New,Finaled,,12/5/2007,10/10/2007,6/4/2008,7/22/2011,Permit,,,401 NE 14 AVE Hallandale Beach FL 33009,514222DB0000,roofing,
2013-2322-NBCM-1,Building New Construction - Retail,Expired,,10/14/2014,7/18/2013,4/13/2015,,Permit,,,801 SILKS RUN Unit: 1585 Hallandale Beach FL 33009,514227510011,roofing,
2015-1775-NBRS-1,Building New Construction - Single Family,Finaled,,8/4/2015,5/7/2015,1/18/2018,6/2/2016,Permit,,,613 HIBISCUS DR Hallandale Beach FL 33009,514226030260,roofing,
BRFG-22-03140,Building Roofing - Built-Up,Finaled,,12/6/2022,3/10/2022,4/16/2024,1/26/2023,Permit,,,118 SE 7 ST HALLANDALE BEACH FL 33009,514227150050,roofing membrane product data and noa,
BRFG-19-03695,Building Roofing - Combo,Finaled,,9/5/2019,8/20/2019,1/16/2020,10/18/2019,Permit,,,308 NW 10 ST HALLANDALE BEACH FL 33009,514221040060,re roofing  shingle to flat roof,
BRFG-23-04702,Building Roofing - Built-Up,Finaled,,12/26/2023,11/11/2023,6/18/2024,3/20/2024,Permit,,,130 SW 1 AVE HALLANDALE BEACH FL 33009,514228022062,re-roof to flat roofing system,
BRFG-16-03167,Building Roofing - Combo,Finaled,,4/21/2016,4/21/2016,12/27/2016,6/27/2016,Permit,,,511 SW 6 AVE HALLANDALE BEACH FL 33009,514228330340,shingles and built-up roofing replacement ,
BRFG-16-03954,Building Roofing - Built-Up,Finaled,,8/17/2016,6/8/2016,7/4/2017,1/5/2017,Permit,,,1800 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514226080010,install new tpo flat roofing system,
BRFG-23-01499,Building Roofing - Single Ply,Finaled,,5/1/2023,2/20/2023,8/15/2023,5/17/2023,Permit,,,630 NW 2 ST HALLANDALE BEACH FL 33009,514228010010,roofing permit - install new roof system,
BRFG-16-04866,Building Roofing - Built-Up,Finaled,,8/31/2016,8/4/2016,3/20/2017,9/19/2016,Permit,,,208 NW 4 AVE HALLANDALE BEACH FL 33009,514228050060,flat re-roofing {5000 sq ft},
BRFG-23-05210,Building Roofing - Metal,Finaled,,12/18/2023,12/12/2023,4/30/2024,1/31/2024,Permit,,,635 SW 7 CT HALLANDALE BEACH FL 33009,514228200110,re-roof to metal roofing system,
BRFG-24-04628,Building Roofing - Built-Up,Finaled,,1/13/2025,10/25/2024,6/11/2025,3/13/2025,Permit,,,3189 S OCEAN DR HALLANDALE BEACH FL 33009,514226020173,re-roofing new flat roof installation,
BRFG-25-01145,Building Roofing - Combo,Required,,,4/15/2025,12/15/2025,,Permit,,,116 NW 5 AVE HALLANDALE BEACH FL 33009,514228020620,new construction of  duplex- roofing permit,
BRFG-25-02213,Building Roofing - Combo,Finaled,,7/29/2025,4/7/2025,2/11/2026,11/13/2025,Permit,,,220 NW 9 ST HALLANDALE BEACH FL 33009,514221040280,re-roofing a new detached garage,
SP-BRFG-17-01085,SP - Building Roofing - Built-Up,Finaled,HALLANDALE FIRE STATION NO.7,3/29/2017,2/23/2017,8/26/2019,8/29/2018,Permit,,,111 FOSTER RD Hallandale Beach FL 33009,514222040190,fire station no.7 - roofing,
SP-BRFG-17-02784,SP - Building Roofing - Built-Up,Finaled,,7/13/2017,6/26/2015,11/4/2019,3/26/2019,Permit,,,401 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222420010,art square - roofing building #4,
SP-BRFG-16-00839,SP - Building Roofing - Combo,Finaled,,12/3/2015,11/20/2015,12/26/2017,5/3/2016,Permit,,,206 HOLIDAY DR Hallandale Beach FL 33009,514226130630,new single family- roofing submittal,
SP-BRFG-25-04546,SP - Building Roofing - Built-Up,Required,,,12/19/2020,,,Permit,,,920 SW 9TH ST HALLANDALE BEACH FL 33009,514228030100,roofing permit for building c,
BTR-22-00618,Local Business Tax Receipt - Professionals,Void,,,9/7/2022,,,License,Kelly Roofing LLC,Limited Liability Company (LLC),400 S FEDERAL HWY HALLANDALE BEACH FL 33009,514227420010,general contractor,Kelly Roofing
BTR-22-00619,Local Business Tax Receipt - Professionals,Void,,,9/7/2022,,,License,Kelly Roofing LLC,Limited Liability Company (LLC),400 S FEDERAL HWY HALLANDALE BEACH FL 33009,514227420010,electrical contractor,Kelly Roofing
BTR-22-00903,Local Business Tax Receipt - Professionals,Fees Due,,,9/14/2022,,,License,Ivey Roofing Inc,Corporation,1835 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514226110010,roof work,
BRFG-16-06639,Building Roofing - Shingle,Finaled,,12/14/2016,12/13/2016,7/10/2017,1/9/2017,Permit,,,627 SW 7 AVE HALLANDALE BEACH FL 33009,514228330510,re-roof 1400 sqft sloped shingle roofing,
BRFG-23-02788,Building Roofing - Shingle,Finaled,,7/17/2023,5/17/2023,2/20/2024,11/22/2023,Permit,,,710-716 SE 3rd AVE Unit: Bldg. 5 Hallandale Beach FL 33009,514227DC0000,reroof existing roof to new shingle roofing.,
BRFG-17-02680,Building Roofing - Maintenance,Finaled,,7/19/2017,6/2/2017,4/23/2018,10/25/2017,Permit,,,1201 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514227390010,install new carlisle pcv flat roofing system.,
BRFG-23-03017,Building Roofing - Shingle,Finaled,,8/1/2023,5/17/2023,1/15/2024,10/16/2023,Permit,,,701-707 SE 3RD AVE Unit: BLDG. 2 HALLANDALE BEACH FL 33009,,reroof existing roof to new shingle roofing.,
BRFG-23-02709,Building Roofing - Shingle,Finaled,,7/17/2023,5/17/2023,2/19/2024,11/21/2023,Permit,,,215-219 SE 8th ST Unit: Bldg. 7 Hallandale Beach FL 33009,,reroof existing roof to new shingle roofing,
BRFG-23-02790,Building Roofing - Shingle,Finaled,,7/17/2023,5/17/2023,2/19/2024,11/20/2023,Permit,,,709-717 SE 3rd AVE Unit: Bldg. 4 Hallandale Beach FL 33009,514227DC0000,reroof existing roof to new shingle roofing.,
BRFG-16-04468,Building Roofing - Shingle,Finaled,,7/18/2016,7/13/2016,2/15/2017,8/16/2016,Permit,,,117 SW 8 CT Unit: 1-2 HALLANDALE BEACH FL 33009,514227350010,re-roof 3100sqt ft sloped shingle roofing,
BRFG-24-02093,Building Roofing - Combo,Finaled,,6/17/2024,5/6/2024,10/14/2024,7/15/2024,Permit,,,630 NW 2 ST HALLANDALE BEACH FL 33009,514228010010,remove and replace roofing materials ( mechanical room),
BRFG-23-02706,Building Roofing - Shingle,Finaled,,7/17/2023,5/17/2023,2/19/2024,11/21/2023,Permit,,,221-225 SE 8th ST Unit: Bldg. 6 Hallandale Beach FL 33009,514227DC0200,reroof existing roof to new shingle roofing.,
BRFG-23-02801,Building Roofing - Shingle,Finaled,,7/26/2023,5/17/2023,2/28/2024,11/30/2023,Permit,,,700-708 SE 3rd AVE Unit: Bldg. 3 Hallandale Beach FL 33009,514227DC0000,reroof existing roof to new shingle roofing.,
BRFG-23-02800,Building Roofing - Shingle,Finaled,,7/26/2023,5/17/2023,1/31/2024,11/2/2023,Permit,,,201-211 SE 8TH ST Unit: BLDG. 1 HALLANDALE BEACH FL 33009,514227DC0000,reroof existing roof to new shingle roofing.,
BRFG-25-00563,Building Roofing - Shingle,Finaled,,3/25/2025,1/31/2025,7/9/2025,4/10/2025,Permit,,,741 SW 5 CT HALLANDALE BEACH FL 33009,514228170110,"re-roofing shingles to shingles, no flat",
BRFG-25-03996,Building Roofing - Combo,Finaled,,10/27/2025,9/17/2025,2/10/2026,11/12/2025,Permit,,,510 SW 3 ST HALLANDALE BEACH FL 33009,514228060150,reroof: remove and replace existing roofing system,
BRFG-25-03936,Building Roofing - Combo,Active,,10/7/2025,9/25/2025,4/5/2026,,Permit,,,419 NW 10 ST HALLANDALE BEACH FL 33009,514221160290,reroof: remove and replace existing roofing system,
BRFG-24-05328,Building Roofing - Built-Up,Required,,,12/5/2024,,,Permit,,,1913 S OCEAN DR HALLANDALE BEACH FL 33009,514226GA0770,remove and install new roofing to match...,
SP-BRFG-17-02782,SP - Building Roofing - Built-Up,VOID,,7/13/2017,6/26/2015,12/9/2019,4/29/2019,Permit,,,419 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222420010,art square flat roofing - building #6,
SP-BRFG-17-02783,SP - Building Roofing - Built-Up,VOID,,7/13/2017,6/26/2015,11/4/2019,5/2/2019,Permit,,,411 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222420010,art square flat roofing - building 5,
BRFG-22-00536,Building Roofing - Combo,Finaled,,2/14/2022,12/30/2021,8/15/2022,5/17/2022,Permit,,,542 BLUE HERON DR Unit: CHURC HALLANDALE BEACH FL 33009,514226130020,re-roofing  building both flat and sloped roof,
BRFG-22-04937,Building Roofing - Shingle,Finaled,,4/4/2023,12/12/2022,7/17/2023,4/17/2023,Permit,,,622 NE 6 ST HALLANDALE BEACH FL 33009,514222130510,"re-roofing shingle to shingle approx. 2,242 sqft",
BRFG-21-05004,Building Roofing - Combo,Finaled,,11/30/2021,10/20/2021,3/29/2022,12/29/2021,Permit,,,305 AVOCADO LN HALLANDALE BEACH FL 33009,514228310011,reroof entire shingles and built up flat roofing,
BRFG-24-04921,Building Roofing - Combo,Finaled,,12/19/2024,11/12/2024,4/28/2025,1/25/2025,Permit,,,716 SW 5 CT HALLANDALE BEACH FL 33009,514228170060,re-roof shingles & flat roof & install roofing straps,
SHOP-17-01016,BD Shop Drawing - Roofing,Approved ,,,3/31/2017,,,Plan,,,901 S FEDERAL HWY HALLANDALE BEACH FL 33009,514227510010,,
SHOP-18-03698,BD Shop Drawing - Roofing,Approved ,,,12/3/2018,,,Plan,,,812 NE 2 CT HALLANDALE BEACH FL 33009,514222360690,,
SHOP-16-03700,BD Shop Drawing - Roofing,Approved ,,,10/26/2016,,,Plan,,,224 SE 9 CT HALLANDALE BEACH FL 33009,514227140920,,
SHOP-16-02173,BD Shop Drawing - Roofing,Approved ,,,5/10/2016,,,Plan,,,113 HOLIDAY DR HALLANDALE BEACH FL 33009,514235030180,,
SHOP-19-02622,BD Shop Drawing - Roofing,VOID,,,8/26/2019,,,Plan,,,26 NW 4 AVE HALLANDALE BEACH FL 33009,514228021290,,
SHOP-19-02629,BD Shop Drawing - Roofing,Approved ,,,8/26/2019,,,Plan,,,802 NW 5 TER HALLANDALE BEACH FL 33009,514221090980,,
SHOP-16-02695,BD Shop Drawing - Roofing,Approved ,,,7/5/2016,,,Plan,,,822 NW 3 TER Hallandale Beach FL 33009,514221090370,,
SHOP-18-03672,BD Shop Drawing - Roofing,Approved ,,,11/29/2018,,,Plan,,,406 TAMARIND DR HALLANDALE BEACH FL 33009,514226050960,,
SHOP-16-01154,BD Shop Drawing - Roofing,Approved ,,,2/8/2016,,,Plan,,,1430 E HALLANDALE BEACH BLVD Hallandale Beach FL 33009,514226150010,,
SHOP-17-01221,BD Shop Drawing - Roofing,Approved ,,,4/18/2017,,,Plan,,,600 SILKS RUN HALLANDALE BEACH FL 33009,514227510014,,
SHOP-18-02267,BD Shop Drawing - Roofing,VOID,,,7/19/2018,,,Plan,,,520 FOSTER RD HALLANDALE BEACH FL 33009,514221150420,,
SHOP-18-00627,BD Shop Drawing - Roofing,Approved ,,,2/26/2018,,,Plan,,,800 SE 4 Ave HALLANDALE BEACH FL 33009,514227170010,,
SHOP-16-02653,BD Shop Drawing - Roofing,Approved ,,,6/29/2016,,,Plan,,,912 NE 3 ST Hallandale Beach FL 33009,514222360570,,
SHOP-17-01077,BD Shop Drawing - Roofing,Rescinded,,,4/5/2017,,,Plan,,,,,,
SHOP-19-03774,BD Shop Drawing - Roofing,Approved ,,,12/12/2019,,,Plan,,,612 PALM DR HALLANDALE BEACH FL 33009,514226040160,,
SHOP-16-01443,BD Shop Drawing - Roofing,Approved ,,,3/4/2016,,,Plan,,,745 NW 9 ST Unit: FieldHouse HALLANDALE BEACH FL 33009,514221010080,,
SHOP-16-03218,BD Shop Drawing - Roofing,Approved ,,,8/29/2016,,,Plan,,,433 LESLIE DR HALLANDALE BEACH FL 33009,514223140880,,
SHOP-16-03301,BD Shop Drawing - Roofing,Approved ,,,9/9/2016,,,Plan,,,1405 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514226090010,,
SHOP-17-00532,BD Shop Drawing - Roofing,Approved ,,,2/22/2017,,,Plan,,,801 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222290022,,
SHOP-16-01613,BD Shop Drawing - Roofing,Approved ,,,3/16/2016,,,Plan,,,1000 NW 8 AVE HALLANDALE BEACH FL 33009,514221010080,,
SHOP-16-04283,BD Shop Drawing - Roofing,Approved ,,,12/29/2016,,,Plan,,,406 ALAMANDA DR HALLANDALE BEACH FL 33009,514226050360,,
SHOP-17-01071,BD Shop Drawing - Roofing,Approved ,,,4/4/2017,,,Plan,,,604 NW 3 AVE HALLANDALE BEACH FL 33009,514221170160,,
SHOP-17-00700,BD Shop Drawing - Roofing,Approved ,,,3/7/2017,,,Plan,,,521 HOLIDAY DR Hallandale Beach FL 33009,514235020010,,
SHOP-16-01935,BD Shop Drawing - Roofing,Approved ,,,4/18/2016,,,Plan,,,415 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514227240081,,
SHOP-19-01395,BD Shop Drawing - Roofing,Approved ,,,5/7/2019,,,Plan,,,510 FOSTER RD HALLANDALE BEACH FL 33009,514221150520,,
SHOP-16-00601,BD Shop Drawing - Roofing,Approved ,,,12/9/2015,,,Plan,,,926 NW 10 ST Hallandale Beach FL 33009,514221280220,,
SHOP-16-00448,BD Shop Drawing - Roofing,Approved ,,,11/20/2015,,,Plan,,,206 HOLIDAY DR Hallandale Beach FL 33009,514226130630,,
SHOP-17-02458,BD Shop Drawing - Roofing,Cancelled,,,8/24/2017,,,Plan,,,20 NE 1 AVE HALLANDALE BEACH FL 33009,514227040020,,
